車両ID-01,車両ID-02,車両ID-03,車両ID-04,車両ID-05,車両ID-06,車両ID-07,車両ID-08,車両ID-09,車両ID-10,車両ID-11,車両ID-12,車両ID-13,車両ID-14,日付,スタンプ,記述
e501-48,,,,,,,,,,,,,,2014/12/27,kaizo,シングルアームパンタグラフ化
e501-13,e501-18,,,,,,,,,,,,,2015/10/29,kaizo,シングルアームパンタグラフ化
hbe210-01,hbe210-02,hbe210-03,hbe210-04,,,,,,,,,,,2015/01/13-14,kosyu,小牛田まで甲種輸送。小牛田運輸区に配置。
hbe210-05,hbe210-06,hbe210-07,hbe210-08,,,,,,,,,,,2015/02/10-11,kosyu,小牛田まで甲種輸送。小牛田運輸区に配置。
e501-33,e501-38,,,,,,,,,,,,,2015/02/13,kaizo,シングルアームパンタグラフ化
e653-50,e653-51,e653-52,e653-56,,,,,,,,,,,2015/02/26,kumikae,1100番台に改番。H-204編成として新潟車両センターに転属。
hbe210-09,hbe210-10,hbe210-11,hbe210-12,,,,,,,,,,,2015/03/03-04,kosyu,小牛田まで甲種輸送。小牛田運輸区に配置。
e653-109,e653-110,e653-111,e653-112,,,,,,,,,,,2015/03/04,tenkai,1100番台に改番。H-203編成として新潟車両センターに転属。
e653-113,e653-114,e653-115,e653-53,e653-54,e653-55,e653-116,,,,,,,,2015/03/26,kumikae,1000番台に改番。1号車をグリーン車に改造し、U-108編成として新潟車両センターに転属。
hbe210-13,hbe210-14,hbe210-15,hbe210-16,,,,,,,,,,,2015/03/12-13,kosyu,小牛田まで甲種輸送。小牛田運輸区に配置。
e231-5144,e231-5145,e231-5146,e231-5147,e231-5148,e231-5149,e231-6014,e231-5151,e231-5152,e231-4614,e231-5154,,,,2015/03/31,toso,ラッピング終了。
kh40-548,,,,,,,,,,,,,,2015/06/02,joto,ミャンマーに譲渡
kh40-2024,,,,,,,,,,,,,,2015/07/22,joto,ミャンマーに譲渡
50ohf-2301,,,,,,,,,,,,,,2015/08/22,kaizo,床下機器の増設や測定窓の構造変更。
kh40-514,,,,,,,,,,,,,,2015/08/27,joto,ミャンマーに譲渡
kh40-562,,,,,,,,,,,,,,2015/09/04,joto,ミャンマーに譲渡
kh48-545,,,,,,,,,,,,,,2015/09/19,toso,只見縁結びラッピング
e501-03,e501-08,,,,,,,,,,,,,2015/11/27,kaizo,シングルアームパンタグラフ化
e501-23,e501-28,,,,,,,,,,,,,2015/12/24,kaizo,シングルアームパンタグラフ化
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
